Gene	sp_id	sp_evalue	sp_desc	go_all	Pfam
Mle_016559	Q02334	8e-10	UDP-galactose translocator 1	GO:0060473;GO:0005797;GO:0000139;GO:0016021;GO:0005351	NA
Mle_016562	Q9CYC3	3e-13	Transmembrane protein 39A	GO:0016021;GO:0098779;GO:0002230;GO:0098792	NA
Mle_016566	Q5R5U3	1e-32	Zinc finger protein 271	GO:0005634;GO:0003677;GO:0046872;GO:0006355;GO:0006351;GO:0046872;GO:0046872	PF00096;PF13465
Mle_016571	Q5I085	0	Serine/threonine-protein phosphatase PP1-beta catalytic subunit	GO:0005737;GO:0005634;GO:0072357;GO:0046872;GO:0050115;GO:0004721;GO:0007049;GO:0051301;GO:0005977;GO:0030155;GO:0016787	PF00149
Mle_016574	Q588U8	1e-37	Craniofacial development protein 2	GO:0005737;GO:0005634	NA
Mle_016577	A5HNF6	6e-07	Myeloid differentiation primary response protein MyD88	GO:0005737;GO:0005829;GO:0005634;GO:0005886;GO:0050830;GO:0090557;GO:0016064;GO:0009682;GO:0006954;GO:0031663;GO:0002755;GO:0044130;GO:0045080;GO:0032740;GO:0032747;GO:0032755;GO:0046330;GO:0050671;GO:0042346;GO:0051092;GO:0032760;GO:2000338;GO:2000341;GO:0050727;GO:1902622;GO:0002238;GO:0032494;GO:0009615;GO:0045351;GO:0005515;GO:0007165	PF00531;PF00531
Mle_016587	Q5RDI0	6e-140	S1 RNA-binding domain-containing protein 1	GO:0003723;GO:0006139;GO:0003676;GO:0003677	PF00575;PF00633
Mle_016588	B7JW74	2e-99	ATP-dependent Clp protease ATP-binding subunit ClpX	GO:0005524;GO:0008270;GO:0006457;GO:0005524;GO:0003676;GO:0005524;GO:0003677;GO:0005524;GO:0006260;GO:0005524;GO:0005524;GO:0005524;GO:0016887	PF00004;PF00270;PF00270;PF00493;PF00493;PF00493;PF01695;PF07724;PF07728;PF07728
Mle_016589	Q9Y2H8	4e-11	Zinc finger protein 510	GO:0005634;GO:0003677;GO:0046872;GO:0006355;GO:0006351;GO:0046872;GO:0046872	PF00096;PF13465
Mle_016598	P70178	2e-22	Homeobox protein SIX5	GO:0005737;GO:0005794;GO:0043231;GO:0005654;GO:0005634;GO:0003677;GO:0000978;GO:0043565;GO:0001077;GO:0002088;GO:0008285;GO:1902723;GO:0045892;GO:0045944;GO:0007286;GO:0003677;GO:0003677;GO:0006355	PF00046;PF05920;PF05920
Mle_016599	Q3U288	3e-11	Zinc finger protein 710	GO:0005634;GO:0003677;GO:0046872;GO:0003712;GO:0006357;GO:0006351;GO:0046872;GO:0046872	PF00096;PF13465
Mle_016601	P46058	5e-13	Epidermal differentiation-specific protein [Cynops pyrrhogaster]	NA;GO:0016337;GO:0016020	PF08964;PF08964
Mle_016607	Q9QXB9	0	Developmentally-regulated GTP-binding protein 2	GO:0005737;GO:0043231;GO:0016020;GO:0005739;GO:0005654;GO:0005525;GO:0005525;GO:0005525;GO:0005525;GO:0007264	PF01926;PF02421;PF08477;PF08477
Mle_016609	Q9UNW9	2e-12	RNA-binding protein Nova-2	GO:0005634;GO:0044822;GO:0003723;GO:0000398;GO:0003723;GO:0003723;GO:0003723	PF00013;PF07650;PF13184
Mle_016610	Q13371	2e-19	Phosducin-like protein	GO:0005737;GO:0005829;GO:0005057;GO:1902605;GO:0061084;GO:0006457;GO:0008616;GO:0008277;GO:0007165;GO:0007601	NA
Mle_016615	A8E4L1	2e-21	Cytochrome c oxidase assembly protein COX19	GO:0005829;GO:0005758;GO:0009060;GO:0033617;GO:0005044;GO:0016020;GO:0003954;GO:0008137;GO:0005739	PF00530;PF00530;PF05676;PF05676;PF05676
Mle_016616	A7RTB3	9e-10	SOSS complex subunit C homolog	GO:0070876;GO:0006281	NA
Mle_016618	Q1JPS6	7e-16	Melanopsin-like	GO:0005887;GO:0008020;GO:0009881;GO:0007186;GO:0008377;GO:0018298;GO:0007601;GO:0004930;GO:0007186;GO:0016021	PF00001;PF00001;PF00001
Mle_016620	Q9VVE5	1e-24	RNA-binding protein Musashi homolog Rbp6	GO:0005737;GO:0005844;GO:0003729;GO:0000166;GO:0008266;GO:0003727;GO:0048864;GO:0003676;GO:0003723	PF00076;PF08777
Mle_016622	Q5FYB0	1e-75	Arylsulfatase J	GO:0005788;GO:0005576;GO:0004065;GO:0046872;GO:0006687;GO:0043687;GO:0008484;GO:0008152;GO:0003824	PF00884;PF00884;PF01663
Mle_016630	Q8K1E6	2e-05	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	GO:0005737;GO:0005739;GO:0005654;GO:0005634;GO:0051747;GO:0043734;GO:0008198;GO:0016706;GO:1990930;GO:0008283;GO:0006307;GO:0006281;GO:0035552;GO:0035553	NA
Mle_016633	Q6P6Z0	0	DNA damage-binding protein 1	GO:0080008;GO:0031464;GO:0031465;GO:0005737;GO:0005634;GO:0003677;GO:0006281;GO:0043161;GO:0016567;GO:0003676;GO:0005634	PF03178;PF03178
Mle_016634	Q63871	4e-19	DNA-directed RNA polymerases I, II, and III subunit RPABC4	GO:0005736;GO:0005665;GO:0005666;GO:0005654;GO:0005634;GO:0003677;GO:0003899;GO:0046872;GO:0034587;GO:0006360;GO:0006366;GO:0006383;GO:0003677;GO:0003899;GO:0006351	PF03604;PF03604;PF03604
Mle_016635	A5GFY4	3e-165	Negative elongation factor D	GO:0005634;GO:0045892;GO:0006351;GO:0045892;GO:0005634	PF04858;PF04858
Mle_016637	Q6NWZ9	5e-38	Cysteine dioxygenase type 1	GO:0005829;GO:0017172;GO:0005506;GO:0019451;GO:0000097;GO:0042412;GO:0005506;GO:0016702;GO:0055114;GO:0016702;GO:0055114	PF05995;PF05995;PF05995;PF07847;PF07847
Mle_016638	Q08D51	1e-123	Autophagy-related protein 2 homolog A [Xenopus (Silurana) tropicalis]	GO:0019898;GO:0000407;GO:0000045;GO:0000422;GO:0044804	NA
Mle_016640	Q3B7T1	5e-10	Erythroid differentiation-related factor 1	GO:0005634;GO:0006355;GO:0006351	NA
Mle_016643	P41924	5e-44	Ras-like GTP-binding protein RYL1	GO:0005768;GO:0005886;GO:0005525;GO:0072659;GO:0009306;GO:0007264;GO:0006904;GO:0005524;GO:0016887;GO:0005525;GO:0005525;GO:0007264;GO:0003924;GO:0004871;GO:0019001;GO:0031683;GO:0007186;GO:0005525;GO:0003924;GO:0005525;GO:0005525;GO:0005525;GO:0007264	PF00005;PF00005;PF00025;PF00071;PF00071;PF00503;PF00503;PF00503;PF00503;PF00503;PF01926;PF03193;PF03193;PF04670;PF08477;PF08477
Mle_016644	Q3ZC48	2e-04	DNA damage-regulated autophagy modulator protein 2	GO:0016324;GO:0005794;GO:0016021;GO:0005765;GO:0005764;GO:0001917;GO:0006915;GO:0006914;GO:0045494;GO:0010506;GO:0007601	NA
Mle_016652	Q6ZUT1	2e-05	Uncharacterized protein C11orf57	NA	NA
Mle_016653	P23640	4e-51	Ras-related protein Rab-27A	GO:0016324;GO:0030425;GO:0070382;GO:0070062;GO:0005794;GO:0005764;GO:0042470;GO:0032585;GO:0001750;GO:0030141;GO:0030667;GO:0033093;GO:0019003;GO:0005525;GO:0003924;GO:0019904;GO:0019882;GO:0007596;GO:0097278;GO:0043316;GO:0006887;GO:1990182;GO:0030318;GO:0032402;GO:0036257;GO:0071985;GO:0043320;GO:1903435;GO:0045921;GO:0010628;GO:0050766;GO:1903428;GO:1903307;GO:0006605;GO:0007264;GO:0005525;GO:0005525;GO:0007264;GO:0005525;GO:0005525;GO:0005525;GO:0007264	PF00025;PF00071;PF00071;PF01926;PF04670;PF08477;PF08477
Mle_016655	Q9I8D1	5e-168	Unconventional myosin-VI	GO:0005884;GO:0005938;GO:0030136;GO:0030665;GO:0005905;GO:0005737;GO:0016023;GO:0016591;GO:0031941;GO:0030175;GO:0005794;GO:0005902;GO:0016459;GO:0031965;GO:0005654;GO:0005634;GO:0048471;GO:0001726;GO:0032587;GO:0003779;GO:0051015;GO:0043531;GO:0005524;GO:0005516;GO:0003774;GO:0060002;GO:0030048;GO:0030330;GO:0006897;GO:0006886;GO:0045944;GO:0051046;GO:0007605;GO:0003774;GO:0005524;GO:0016459;GO:0005515	PF00063;PF00063;PF00063;PF00612
Mle_016656	Q91ZB4	1e-15	Heparan-sulfate 6-O-sulfotransferase 1	GO:0016021;GO:0008146;GO:0048666;GO:0008146;GO:0016021	PF03567;PF03567
Mle_016657	Q09470	2e-70	Potassium voltage-gated channel subfamily A member 1	GO:0016324;GO:0043679;GO:0030054;GO:0009986;GO:0016023;GO:0005829;GO:0030425;GO:0005783;GO:0005887;GO:0044224;GO:0043025;GO:0033270;GO:0043204;GO:0005886;GO:0042734;GO:0045202;GO:0008076;GO:0005251;GO:0005267;GO:0015079;GO:0005249;GO:0010644;GO:0034613;GO:0071286;GO:0050966;GO:0050976;GO:0021766;GO:0010960;GO:0007405;GO:0050905;GO:0019228;GO:0023041;GO:0071805;GO:0006813;GO:0051260;GO:0042391;GO:0006937;GO:0001964;GO:0007268;GO:0005216;GO:0006811;GO:0055085;GO:0016020;GO:0051260	PF00520;PF00520;PF00520;PF00520;PF02214
Mle_016663	Q95JX4	2e-23	Inactive polypeptide N-acetylgalactosaminyltransferase-like protein 5	GO:0016021;GO:0031902;GO:0046872;GO:0007286	NA
Mle_016665	Q8WZ64	1e-52	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2	GO:0005829;GO:0005096;GO:0046872;GO:0005547;GO:0051056;GO:0007165;GO:0005515;GO:0007165;GO:0007165;GO:0005096;GO:0005515;GO:0005515;GO:0005543;GO:0032065;GO:0005938	PF00536;PF00620;PF00788;PF01412;PF07647;PF12814;PF12814;PF12814;PF12814
Mle_016675	Q02614	4e-16	SAP30-binding protein	GO:0045111;GO:0005654;GO:0005634;GO:0006915;GO:0010942;GO:0006355;GO:0006351;GO:0006355	PF07818
Mle_016678	P70388	5e-83	DNA repair protein RAD50	GO:0000794;GO:0016020;GO:0030870;GO:0000790;GO:0000784;GO:0005654;GO:0005634;GO:0045120;GO:0035861;GO:0004017;GO:0005524;GO:0016887;GO:0003677;GO:0003691;GO:0051880;GO:0046872;GO:0030674;GO:0043047;GO:0006974;GO:0051276;GO:0070192;GO:0032508;GO:0006310;GO:0006281;GO:0006302;GO:0000724;GO:1904354;GO:0090305;GO:0033674;GO:0031954;GO:0032206;GO:0007131;GO:0007346;GO:0000019;GO:0016233;GO:0000722;GO:0007004;GO:0031860;GO:0005524	PF13304
Mle_016684	Q55GC7	1e-15	Sphingomyelinase phosphodiesterase D	GO:0005576;GO:0016798;GO:0046872;GO:0004767;GO:0046513;GO:0006685;GO:0016787	PF00149
Mle_016686	Q62829	3e-16	Serine/threonine-protein kinase PAK 3	GO:0005768;GO:0005524;GO:0051020;GO:0004708;GO:0046872;GO:0004672;GO:0004674;GO:0004702;GO:0007409;GO:0071407;GO:0016358;GO:0060996;GO:0035556;GO:0061003;GO:2000573;GO:0010763;GO:0043525;GO:0006468;GO:0032956;GO:0030833;GO:0010975;GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468	PF00069;PF00069;PF00069;PF07714;PF07714
Mle_016689	P25782	2e-25	Digestive cysteine proteinase 2	GO:0008234;GO:0008234;GO:0006508	PF00112;PF00112
Mle_016690	Q9H8Y5	8e-33	Ankyrin repeat and zinc finger domain-containing protein 1	GO:0036266;GO:0016020;GO:0046872;GO:0030433;GO:0072671;GO:0071630;GO:0005515	PF00023
Mle_016691	Q9Z118	1e-82	Polypyrimidine tract-binding protein 3	GO:0005634;GO:0000166;GO:0003723;GO:0043249;GO:0006397;GO:0045595;GO:0008380;GO:0003676	PF00076
Mle_016694	O42248	5e-157	Guanine nucleotide-binding protein subunit beta-2-like 1	GO:0005737;GO:0001525;GO:0060027;GO:0030178;GO:2000543;GO:0051302;GO:2000114;GO:0032880;GO:0005515	PF00400
Mle_016700	O14639	2e-60	Actin-binding LIM protein 1	GO:0015629;GO:0005737;GO:0030027;GO:0001725;GO:0003779;GO:0008270;GO:0042384;GO:0007010;GO:0030032;GO:0009887;GO:0007601;GO:0008270;GO:0003779;GO:0007010	PF00412;PF02209;PF02209
Mle_016703	Q20140	3e-62	Adenylate kinase isoenzyme 1	GO:0005737;GO:0004017;GO:0005524;GO:0004550;GO:0006172;GO:0046033;GO:0046034;GO:0009142	NA
Mle_016706	P13360	4e-77	Protein glass	GO:0005634;GO:0003677;GO:0046872;GO:0003705;GO:0003700;GO:0060086;GO:0042051;GO:0001752;GO:0009649;GO:0043153;GO:0045944;GO:0006355;GO:0010114;GO:0035271;GO:0007605;GO:0006351;GO:0007601;GO:0046872;GO:0035556;GO:0003677;GO:0046872;GO:0046872	PF00096;PF00130;PF02892;PF13465;PF13912
Mle_016708	Q920P9	3e-06	Lymphocyte antigen 75	GO:0016021;GO:0030246;GO:0006897	NA
Mle_016709	Q0VGK2	4e-51	Tetratricopeptide repeat protein 39C	NA;GO:0005515	PF00515
Mle_016715	Q8NB50	2e-22	Zinc finger protein 62 homolog	GO:0005634;GO:0046872;GO:0003676;GO:0006355;GO:0006351;GO:0046872;GO:0046872;GO:0046872	PF00096;PF13465;PF13912
Mle_016719	Q5QD13	1e-06	Trace amine-associated receptor 6	GO:0016021;GO:0005886;GO:0001594;GO:0004930;GO:0007186;GO:0016021;GO:0004930;GO:0007186;GO:0016021	PF00001;PF00001;PF00001;PF00002;PF00002;PF00002
Mle_016722	Q5ZLL1	2e-162	Casein kinase I isoform epsilon	GO:0005737;GO:0005634;GO:0005524;GO:0004672;GO:0004674;GO:0006897;GO:0018105;GO:0032436;GO:0006468;GO:0008360;GO:0048511;GO:0016055;GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468	PF00069;PF00069;PF00069;PF07714;PF07714
Mle_016725	Q6GP04	0	Protein MON2 homolog [Xenopus laevis]	GO:0015031	NA
Mle_016727	Q11001	3e-09	Membrane alanyl aminopeptidase	GO:0031225;GO:0005886;GO:0004177;GO:0008237;GO:0008270	NA
Mle_016730	Q99LT0	7e-24	Protein dpy-30 homolog	GO:0000781;GO:0005794;GO:0035097;GO:0044666;GO:0005654;GO:0005634;GO:0048188;GO:0005802;GO:0042802;GO:0042803;GO:0006348;GO:0016197;GO:0051568;GO:0006351	NA
Mle_016731	Q6PK18	2e-64	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3	GO:0070062;GO:0016021;GO:0016020;GO:0051213;GO:0005506;GO:0031418;GO:0016705;GO:0016491;GO:0055114;GO:0016491;GO:0055114	PF03171;PF03171;PF13640;PF13640
Mle_016733	O75445	3e-31	Usherin	GO:0016324;GO:0005604;GO:0036064;GO:0005737;GO:0016021;GO:1990075;GO:0032391;GO:0001917;GO:0002142;GO:0032421;GO:0060171;GO:1990696;GO:0005518;GO:0017022;GO:0045184;GO:0035315;GO:0060113;GO:0048496;GO:0045494;GO:0050896;GO:0050953;GO:0007605;GO:0007601	NA
Mle_016741	Q0VDD8	2e-09	Dynein heavy chain 14, axonemal	GO:0005929;GO:0005737;GO:0030286;GO:0005874;GO:0005524;GO:0003777;GO:0007018	NA
Mle_016744	B2RZ37	6e-14	Receptor expression-enhancing protein 5	GO:0070062;GO:0016021	NA
Mle_016746	P25786	5e-49	Proteasome subunit alpha type-1	GO:0005813;GO:0005829;GO:0070062;GO:0005654;GO:0005634;GO:0005844;GO:0000502;GO:0005839;GO:0019773;GO:0003723;GO:0004298;GO:0031145;GO:0002479;GO:0038095;GO:0000165;GO:0090090;GO:0051436;GO:0038061;GO:0090263;GO:0051437;GO:0043161;GO:0000209;GO:0006521;GO:0043488;GO:0002223;GO:0050852;GO:0033209;GO:0060071;GO:0003723;GO:0004298;GO:0051603;GO:0005839;GO:0003723;GO:0004175;GO:0006511;GO:0019773;GO:0003723	PF00013;PF00227;PF00227;PF00227;PF07650;PF10584;PF10584;PF10584;PF13184
Mle_016747	Q9NQM4	2e-24	Protein PIH1D3	GO:0005737;GO:0051087;GO:0070286;GO:0030317	NA
Mle_016750	Q9Y2I1	9e-24	Nischarin	GO:0005829;GO:0005769;GO:0016020;GO:0005886;GO:0055037;GO:0042802;GO:0035091;GO:0030036;GO:0006915;GO:0006006;GO:0030336;GO:0048243;GO:0016601;GO:0008217;GO:0032228;GO:0005515;GO:0005515;GO:0005515	PF00560;PF13516;PF13855
Mle_016752	P39654	9e-11	Arachidonate 15-lipoxygenase	GO:0005737;GO:0005829;GO:0031234;GO:0005811;GO:0016020;GO:0005886;GO:0004052;GO:0050473;GO:0051120;GO:0047977;GO:0005506;GO:0005546;GO:0043277;GO:0019369;GO:0030282;GO:0071277;GO:0035963;GO:0051122;GO:2001303;GO:0019372;GO:0002820;GO:0001503;GO:0006646;GO:0030838;GO:0010811;GO:0070374;GO:0034116;GO:1901074;GO:0035358;GO:0034976;GO:0042060	NA
Mle_016756	Q9Y606	2e-79	tRNA pseudouridine synthase A, mitochondrial	GO:0005759;GO:0005739;GO:0005634;GO:0044822;GO:0009982;GO:0004730;GO:0070902;GO:0003723;GO:0009982;GO:0001522;GO:0009451	PF01416;PF01416;PF01416;PF01416
Mle_016757	O44827	7e-15	Facilitated glucose transporter protein 1	GO:0016323;GO:0016021;GO:0022891;GO:0015758;GO:0022857;GO:0055085;GO:0016021	PF00083;PF00083;PF00083
Mle_016758	P06867	5e-44	Plasminogen	GO:0005576;GO:0004252;GO:0007596;GO:0042730;GO:0048771;GO:0005515;GO:0005515;GO:0030246;GO:0005509	PF00008;PF00093;PF02140;PF07645
Mle_016761	Q9WV89	9e-29	Syntaxin-binding protein 4	GO:0005737;GO:0070062;GO:0045111;GO:0005654;GO:0019905;GO:0006974;GO:0015758;GO:0008286;GO:1902808;GO:0010838;GO:0050821;GO:0006605;GO:0061178;GO:0005515;GO:0005515;GO:0005515;GO:0005509	PF00397;PF00595;PF13180;PF13833
Mle_016765	D3Z7P3	2e-151	Glutaminase kidney isoform, mitochondrial	GO:0005829;GO:0005759;GO:0005739;GO:0004359;GO:0006537;GO:0006543;GO:0051289;GO:0002087;GO:0001967;GO:0007268;GO:0005515;GO:0004359;GO:0006541;GO:0005515	PF00023;PF04960;PF04960;PF13606
Mle_016767	F1LZ52	2e-34	Kelch-like protein 3	GO:0031463;GO:0005856;GO:0005829;GO:0072156;GO:0050801;GO:0070936;GO:0016567;GO:0042787;GO:0070294;GO:0005515	PF00651
Mle_016768	P36958	3e-60	DNA-directed RNA polymerase II subunit RPB9	GO:0005665;GO:0005730;GO:0005634;GO:0003899;GO:0003676;GO:0008270;GO:0001193;GO:0007095;GO:0007067;GO:0022008;GO:0006366;GO:0006367;GO:0006283;GO:0003676;GO:0008270;GO:0006351;GO:0006351	PF01096;PF01096;PF01096;PF02150
Mle_016772	A2VDN6	1e-42	Splicing factor 3A subunit 1	GO:0071013;GO:0005654;GO:0005686;GO:0071004;GO:0005684;GO:0044822;GO:0003723;GO:0000389;GO:0000398;GO:0000381;GO:0005515	PF00240
Mle_016780	Q95SX7	2e-18	Probable RNA-directed DNA polymerase from transposon BS	GO:0003964;GO:0006313	NA
Mle_016782	P07911	2e-10	Uromodulin	GO:0031225;GO:0016324;GO:0016323;GO:0060170;GO:0031410;GO:0070062;GO:0005615;GO:0019898;GO:0005794;GO:0045121;GO:0072372;GO:0000922;GO:0005509;GO:0019864;GO:0006968;GO:0048878;GO:0007588;GO:0007157;GO:0007159;GO:0072218;GO:0072221;GO:0072233;GO:0008285;GO:1990266;GO:2000021;GO:0010033	NA
Mle_016786	Q8HY69	5e-16	Rhodopsin [Sminthopsis crassicaudata]	GO:0016021;GO:0060342;GO:0042622;GO:0005886;GO:0004930;GO:0046872;GO:0009881;GO:0007186;GO:0007602;GO:0018298;GO:0007601;GO:0004930;GO:0007186;GO:0016021	PF00001;PF00001;PF00001
Mle_016787	A2ASS6	4e-11	Titin	GO:0031672;GO:0000794;GO:0070062;GO:0031674;GO:0031430;GO:0005859;GO:0030017;GO:0005865;GO:0030018;GO:0051015;GO:0042805;GO:0030506;GO:0005524;GO:0005509;GO:0005516;GO:0019899;GO:0042802;GO:0051371;GO:0002020;GO:0019901;GO:0043621;GO:0004674;GO:0004713;GO:0005200;GO:0008307;GO:0097493;GO:0031433;GO:0007512;GO:0060048;GO:0048739;GO:0003300;GO:0055008;GO:0055003;GO:0035995;GO:0043056;GO:0007507;GO:0060419;GO:0003007;GO:0001701;GO:0006936;GO:0018108;GO:0050790;GO:0045859;GO:1901897;GO:0051592;GO:0045214;GO:0048769;GO:0030241;GO:0030240;GO:0001756;GO:0055002;GO:0006941;GO:0021591;GO:0005515	PF13895
Mle_016789	Q9NBX4	2e-18	Probable RNA-directed DNA polymerase from transposon X-element	GO:0003964;GO:0006313	NA
Mle_016790	Q9R0W2	5e-16	Solute carrier family 22 member 2	GO:0016323;GO:0005887;GO:0015220;GO:0005329;GO:0015101;GO:0015651;GO:0005496;GO:0015872;GO:0051608;GO:0015695;GO:0015697;GO:0022857;GO:0055085;GO:0016021;GO:0055085;GO:0016021	PF00083;PF00083;PF00083;PF07690;PF07690
Mle_016791	P27080	2e-125	ADP,ATP carrier protein	GO:0016021;GO:0005743;GO:0005215;GO:0055085	NA
Mle_016794	O76878	9e-07	RILP-like protein homolog	GO:0048812	NA
Mle_016795	P21328	5e-07	RNA-directed DNA polymerase from mobile element jockey	GO:0003964	NA
Mle_016800	Q86VL8	6e-11	Multidrug and toxin extrusion protein 2	GO:0016021;GO:0005886;GO:0015238;GO:0015307;GO:0006855;GO:0055085;GO:0015238;GO:0015297;GO:0006855;GO:0055085;GO:0016020	PF01554;PF01554;PF01554;PF01554;PF01554
Mle_016801	Q54UC0	6e-12	DNA-dependent protein kinase catalytic subunit	GO:0005958;GO:0005730;GO:0005634;GO:0005524;GO:0003677;GO:0004677;GO:0016301;GO:0004672;GO:0006974;GO:0006975;GO:0006303;GO:0006468	NA
Mle_016802	O74467	8e-13	SET domain-containing protein 5	GO:0005829;GO:0000790;GO:0005634;GO:0018024;GO:0016279;GO:0034968;GO:0018022;GO:0005515	PF00856
Mle_016803	Q99JB7	2e-18	Protein amnionless	GO:0045177;GO:0016324;GO:0005905;GO:0030139;GO:0005768;GO:0070062;GO:0005615;GO:0016021;GO:0005102;GO:0015889;GO:0007588;GO:0043001;GO:0007275;GO:0008104;GO:0006898;GO:0016021	PF03821
Mle_016804	Q5ZJK8	0	T-complex protein 1 subunit eta	GO:0044297;GO:0005832;GO:0070062;GO:0005874;GO:0005739;GO:0002199;GO:0005524;GO:0007339;GO:0006457;GO:1901998;GO:0005524	PF00118
Mle_016808	P57760	3e-65	Serine/threonine-protein kinase 16	GO:0005737;GO:0005798;GO:0016020;GO:0048471;GO:0005524;GO:0004715;GO:0004672;GO:0004674;GO:0001077;GO:0071560;GO:0045944;GO:0046777;GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468	PF00069;PF00069;PF00069;PF07714;PF07714
Mle_016810	Q80ZF8	6e-08	Brain-specific angiogenesis inhibitor 3	GO:0016021;GO:0005886;GO:0098794;GO:0043083;GO:0004930;GO:0005096;GO:0007166;GO:0099558;GO:0061743;GO:0007520;GO:0016525;GO:0016322;GO:0051965;GO:0048814	NA
Mle_016814	Q9UNW9	2e-17	RNA-binding protein Nova-2	GO:0005634;GO:0044822;GO:0003723;GO:0000398;GO:0003723;GO:0004788;GO:0005524;GO:0009229;GO:0003723	PF00013;PF04263;PF04263;PF04263;PF07650
Mle_016816	P0C6F1	0	Dynein heavy chain 2, axonemal	GO:0005737;GO:0036156;GO:0005874;GO:0031512;GO:0005524;GO:0016887;GO:0003777;GO:0007018;GO:0005524;GO:0005524;GO:0016887;GO:0005524;GO:0008134;GO:0006355;GO:0003676;GO:0005524;GO:0005524;GO:0006810;GO:0005524;GO:0003777;GO:0007018;GO:0030286;GO:0005525;GO:0006777;GO:0005524;GO:0016887;GO:0005524;GO:0008134;GO:0006355	PF00004;PF00005;PF00005;PF00158;PF00158;PF00158;PF00270;PF00270;PF00437;PF00437;PF01695;PF03028;PF03028;PF03028;PF03205;PF03205;PF07728;PF07728;PF14532;PF14532;PF14532
Mle_016818	P17426	0	AP-2 complex subunit alpha-1	GO:0016324;GO:0016323;GO:0030131;GO:0005905;GO:0032433;GO:0016020;GO:0030117;GO:0030141;GO:0019901;GO:0008565;GO:0006897;GO:0006886;GO:1900126;GO:0016192;GO:0006886;GO:0016192;GO:0030117;GO:0006886;GO:0016192;GO:0030131;GO:0006886;GO:0016192;GO:0030131	PF01602;PF01602;PF01602;PF02296;PF02296;PF02296;PF02883;PF02883;PF02883
Mle_016819	Q9BGN4	5e-04	Thyrotropin receptor	GO:0005887;GO:0008528;GO:0004996;GO:0007190;GO:0007189;GO:0009755;GO:0007399;GO:0038194;GO:0004930;GO:0007186;GO:0016021	PF00001;PF00001;PF00001
Mle_016820	P14604	9e-104	Enoyl-CoA hydratase, mitochondrial	GO:0005759;GO:0005739;GO:0004300;GO:0006635;GO:0003824;GO:0008152;GO:0008233;GO:0006508	PF00378;PF00378;PF01343;PF01343
Mle_016821	Q8TC57	3e-09	Meiosis 1 arrest protein	GO:0005737;GO:0016021;GO:0030154;GO:0031497;GO:0007292;GO:0051308;GO:0006396;GO:0007283	NA
Mle_016828	Q8CH18	2e-35	Cell division cycle and apoptosis regulator protein 1	GO:0005641;GO:0048471;GO:0001047;GO:0030374;GO:0044822;GO:0003713;GO:0003714;GO:0006915;GO:0007049;GO:1903507;GO:0043065;GO:0030335;GO:0008284;GO:0006355;GO:0006351;GO:0005198;GO:0005882	PF00038;PF00038
Mle_016829	Q9UNW9	2e-25	RNA-binding protein Nova-2	GO:0005634;GO:0044822;GO:0003723;GO:0000398;GO:0003723;GO:0003723	PF00013;PF07650
Mle_016831	P21329	8e-18	RNA-directed DNA polymerase from mobile element jockey	GO:0003964	NA
Mle_016833	Q9D581	2e-14	EF-hand calcium-binding domain-containing protein 10	GO:0005509;GO:0005509	PF13405
Mle_016834	O14929	1e-100	Histone acetyltransferase type B catalytic subunit	GO:0005737;GO:0043231;GO:0000790;GO:0000784;GO:0016363;GO:0005654;GO:0005634;GO:0043234;GO:0010485;GO:0004402;GO:0042393;GO:0006348;GO:0006323;GO:0006335;GO:0006336;GO:0043967;GO:0006475;GO:0007584;GO:0008080;GO:0004402;GO:0016568;GO:0008080	PF00583;PF10394;PF10394;PF13508
Mle_016835	Q5ISC6	3e-08	Heme-binding protein 1 [Sus scrofa]	GO:0005737;GO:0020037	NA
Mle_016837	A6QQW0	9e-30	Zinc finger protein 143	GO:0005634;GO:0003677;GO:0046872;GO:0006355;GO:0006351;GO:0046872;GO:0046872;GO:0046872	PF00096;PF13465;PF13912
Mle_016838	Q5BIM1	3e-24	Tripartite motif-containing protein 45	GO:0005737;GO:0045171;GO:0005654;GO:0008270;GO:0060348;GO:0046872;GO:0008270;GO:0005622;GO:0007067;GO:0042729;GO:0072686	PF00097;PF00643;PF00643;PF08654;PF08654;PF08654
Mle_016841	Q1A249	1e-05	Gag-Pol polyprotein	GO:0030430;GO:0042025;GO:0020002;GO:0016020;GO:0019013;GO:0004190;GO:0003677;GO:0003887;GO:0004533;GO:0003723;GO:0003964;GO:0004523;GO:0005198;GO:0008270;GO:0015074;GO:0006310;GO:0075713;GO:0039657;GO:0046718;GO:0075732;GO:0019076;GO:0003676;GO:0004523	PF00075;PF00075
Mle_016846	Q9I8F9	6e-125	Heat shock 70 kDa protein 1	GO:0005524;GO:0000902	PF06723
